sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.1578;0.3017;13.0856;-0.4097;0.6729;9.775;0.5773;1.1924;0.5984;0.07;-0.2581;1.4037;3.0;-6.9;19.23;-13.93;20.86;-3.93;2.4;5.0;50.41;;;;NaN;;;;0 / 0;36068;2021-03-12 21:38:13:446
-0.8497;2.702;8.9414;-0.012;2.62;9.4502;0.3329;-0.0173;1.1117;-0.4972;-0.4499;0.3375;3.0;3.97;13.05;-20.34;350.51;-20.52;2.24;5.0;52.103;;;;NaN;;;;0 / 0;36568;2021-03-12 21:38:13:946
-1.0269;3.0997;9.2672;-0.1087;3.0062;9.3339;-0.1576;1.2706;0.1993;-0.7054;-0.1725;-0.5664;3.0;-6.98;16.38;-18.45;19.18;-17.85;0.67;5.0;44.726;;;;NaN;;;;0 / 0;37067;2021-03-12 21:38:14:445
2.3411;-0.5031;9.1714;0.0739;0.553;9.7908;0.066;-0.9088;-0.9646;1.1211;-0.1544;1.292;2.7;-5.86;18.66;-14.64;16.54;-3.23;-0.43;5.0;55.021;;;;NaN;;;;0 / 0;37566;2021-03-12 21:38:14:944
1.0044;3.1859;9.6313;0.667;1.8979;9.5981;0.3592;1.2912;0.0076;-0.7206;0.0409;-0.1626;2.4;-3.21;18.55;-14.76;4.65;-13.42;-4.58;5.0;53.085;;;;NaN;;;;0 / 0;38066;2021-03-12 21:38:15:444
2.4801;3.0565;9.1043;0.8226;3.3907;9.165;-0.3035;-1.3698;1.033;0.1891;-0.8554;0.4337;2.1;6.7;14.22;-17.88;339.11;-19.21;-0.93;5.0;39.87;;;;NaN;;;;0 / 0;38567;2021-03-12 21:38:15:945
2.0585;2.726;12.1226;0.2917;3.5878;9.1221;0.8444;0.6322;2.4913;-0.4852;-0.7358;-1.4752;2.4;-5.81;17.02;-19.45;11.5;-20.97;-4.06;5.0;45.272;;;;NaN;;;;0 / 0;39066;2021-03-12 21:38:16:444
-1.8222;0.7617;8.9749;0.2976;1.9783;9.6004;0.0974;-2.4967;1.0537;-1.2291;-0.2849;-2.8901;2.4;-43.42;-12.84;-9.69;103.76;-11.64;-1.78;5.0;48.332;;;;NaN;;;;0 / 0;39567;2021-03-12 21:38:16:945
0.5589;2.0648;8.1078;0.2382;2.8102;9.3924;1.7072;0.4986;-1.0466;-0.7833;-0.3484;-1.5837;2.1;-38.7;-32.11;-3.37;127.18;-16.65;-1.45;5.0;47.439;;;;NaN;;;;0 / 0;40067;2021-03-12 21:38:17:445
1.862;2.8697;7.9928;-0.9368;2.6117;9.406;3.2035;-0.1207;-1.3143;0.6727;0.6651;1.3946;2.4;-38.82;-28.04;-10.63;123.34;-10.01;1.64;5.0;58.073;;;;NaN;;;;0 / 0;40567;2021-03-12 21:38:17:945
